[PC: c7dc] OPCODE a9 | A:80 X: 0 Y: 0 P:a4 SP:fb |lda AdressingMode[0] ff
[PC: c7de] OPCODE 85 | A:ff X: 0 Y: 0 P:a4 SP:fb |sta AdressingMode[1] 255
[PC: c7e0] OPCODE 24 | A:ff X: 0 Y: 0 P:a4 SP:fb |bit AdressingMode[1] 255
[PC: c7e2] OPCODE a9 | A:ff X: 0 Y: 0 P:e4 SP:fb |lda AdressingMode[0] 0
[PC: c7e4] OPCODE 38 | A: 0 X: 0 Y: 0 P:66 SP:fb |sec
[PC: c7e5] OPCODE 78 | A: 0 X: 0 Y: 0 P:67 SP:fb |sei
[PC: c7e6] OPCODE f8 | A: 0 X: 0 Y: 0 P:67 SP:fb |sed
[PC: c7e7] OPCODE  8 | A: 0 X: 0 Y: 0 P:6f SP:fb |php 7f
[PC: c7e8] OPCODE 68 | A: 0 X: 0 Y: 0 P:6f SP:fa |pla 7f
[PC: c7e9] OPCODE 29 | A:7f X: 0 Y: 0 P:6d SP:fb |and AdressingMode[0] 6f
[PC: c7eb] OPCODE c9 | A:6f X: 0 Y: 0 P:6d SP:fb |cmp AdressingMode[0] 6f, 6f
[PC: c7ed] OPCODE f0 | A:6f X: 0 Y: 0 P:6f SP:fb |beq 4 Zero flag[true]
[PC: c7f3] OPCODE ea | A:6f X: 0 Y: 0 P:6f SP:fb |nop
[PC: c7f4] OPCODE a9 | A:6f X: 0 Y: 0 P:6f SP:fb |lda AdressingMode[0] 40
[PC: c7f6] OPCODE 85 | A:40 X: 0 Y: 0 P:6d SP:fb |sta AdressingMode[1] 64
[PC: c7f8] OPCODE 24 | A:40 X: 0 Y: 0 P:6d SP:fb |bit AdressingMode[1] 64
[PC: c7fa] OPCODE d8 | A:40 X: 0 Y: 0 P:6d SP:fb |cld
[PC: c7fb] OPCODE a9 | A:40 X: 0 Y: 0 P:65 SP:fb |lda AdressingMode[0] 10
[PC: c7fd] OPCODE 18 | A:10 X: 0 Y: 0 P:65 SP:fb |clc
[PC: c7fe] OPCODE  8 | A:10 X: 0 Y: 0 P:64 SP:fb |php 74
[PC: c7ff] OPCODE 68 | A:10 X: 0 Y: 0 P:64 SP:fa |pla 74
[PC: c800] OPCODE 29 | A:74 X: 0 Y: 0 P:64 SP:fb |and AdressingMode[0] 64
[PC: c802] OPCODE c9 | A:64 X: 0 Y: 0 P:64 SP:fb |cmp AdressingMode[0] 64, 64
[PC: c804] OPCODE f0 | A:64 X: 0 Y: 0 P:67 SP:fb |beq 4 Zero flag[true]
[PC: c80a] OPCODE ea | A:64 X: 0 Y: 0 P:67 SP:fb |nop
